"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
408 0.373778816423803 2 18 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.591467599109026
17 0.961624513336562 2 30 "GO:0000030" "mannosyltransferase activity" 0.986367483161679
-569 0.0649500634132555 5 40 "GO:0000049" "tRNA binding" 0.221502112812792
-109 0.797471599380255 4 21 "GO:0000062" "fatty-acyl-CoA binding" 0.889176337978661
1252 0.0330020909199822 4 11 "GO:0000146" "microfilament motor activity" 0.14972049504524
-284 0.308547213644792 2 49 "GO:0000149" "SNARE binding" 0.531994789627353
-145 0.84388173336774 2 7 "GO:0000150" "recombinase activity" 0.921473203161473
-399 0.278500894266198 3 28 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.512988868450775
563 0.444284780610125 6 7 "GO:0000179" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.647736764660847
512 0.519397062510482 6 6 "GO:0000182" "rDNA binding" 0.706349403062187
-1057 0.029939666973649 6 16 "GO:0000217" "DNA secondary structure binding" 0.140683873438319
-612 0.000515352024699249 2 124 "GO:0000287" "magnesium ion binding" 0.00698196099215832
-1393 0.0317919643185263 2 9 "GO:0000339" "RNA cap binding" 0.145565984773252
-1370 0.0846102573002991 3 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.259874361708062
-1341 0.0387722764088791 2 9 "GO:0000400" "four-way junction DNA binding" 0.16295833540557
-1434 0.0710813958301124 2 6 "GO:0000403" "Y-form DNA binding" 0.234331668253271
-1206 0.165917161548203 2 5 "GO:0000405" "bubble DNA binding" 0.386243711905782
-272 0.588258981681553 2 15 "GO:0000810;GO:0004787;GO:0008758;GO:0008796;GO:0008828;GO:0019176;GO:0019177" "bis(5'-nucleosyl)-tetraphosphatase activity" 0.75263665314755
596 0.000366568487982231 2 138 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.00525414832774531
695 0.00413023890399301 2 65 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.0371346025095372
-319 0.604861261969445 2 10 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.768904611938022
929 0.176825784437893 2 8 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.392513450099032
899 2.20180253488135e-08 3 150 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 1.20976817055425e-06
1024 1.17936585546007e-05 2 70 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.000323998008625003
-682 0.224847066679297 3 12 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.456619607691632
-283 0.419143299424828 2 31 "GO:0001046" "core promoter sequence-specific DNA binding" 0.629032963780205
-47 0.866381581574345 2 48 "GO:0001047" "core promoter binding" 0.931360200192421
-157 0.550519404758065 2 55 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.731806036701245
1193 1.89511282769183e-05 5 49 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.000446253949187433
1085 0.00899962519301601 3 22 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.0618099258048113
65 0.865919043678173 2 26 "GO:0001085" "RNA polymerase II transcription factor binding" 0.931360200192421
-682 0.433429676667993 3 5 "GO:0001094;GO:0001091" "TFIID-class transcription factor binding" 0.641709506324319
-655 0.19283358237501 3 15 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.417313813936291
1124 0.0679135836068407 2 10 "GO:0001102;GO:0033613" "activating transcription factor binding" 0.226149946758133
-632 0.281530404210093 2 11 "GO:0001103;GO:0070491" "repressing transcription factor binding" 0.514248671888678
-582 0.0656957445160895 3 38 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.223275227925816
-24 0.964938861590784 2 13 "GO:0001105;GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.986367483161679
578 0.324902945950918 7 11 "GO:0001158" "enhancer sequence-specific DNA binding" 0.543703914628524
108 0.847991127676932 3 12 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.921607939859874
806 0.0175125513655119 2 33 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.0995397316120188
