"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-371 0.415536088797944 2 13 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.74847586486351
330 0.346493543364088 3 22 "GO:0000030" "mannosyltransferase activity" 0.693292143862969
129 0.620545164470288 2 40 "GO:0000049" "tRNA binding" 0.862998545369134
435 0.24797236399929 2 19 "GO:0000062" "fatty-acyl-CoA binding" 0.601984077874281
1029 0.0760010677700574 3 8 "GO:0000146" "microfilament motor activity" 0.327475189068041
491 0.0477475253172398 3 44 "GO:0000149" "SNARE binding" 0.267325316903527
218 0.533295702982705 3 22 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.829675969773093
-253 0.705199403220252 2 6 "GO:0000179" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.902739873776937
-1063 0.147211269879376 2 5 "GO:0000182" "rDNA binding" 0.475026692718207
594 0.191665539515336 2 13 "GO:0000217" "DNA secondary structure binding" 0.546993536473962
148 0.356931980559353 5 106 "GO:0000287" "magnesium ion binding" 0.701710593824718
858 0.166662374743116 3 7 "GO:0000339" "RNA cap binding" 0.506370453798867
530 0.393193014561976 4 7 "GO:0000400" "four-way junction DNA binding" 0.731223236947868
-498 0.497429572551405 7 5 "GO:0000403" "Y-form DNA binding" 0.803751092413024
81 0.592021889630874 4 121 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.854027336023796
-152 0.490882176002192 2 56 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.801748685003503
-660 0.2277875900768 5 9 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.584070968139756
1187 0.0764406653166156 2 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.327762657625879
-170 0.254079741628394 3 124 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.601984077874281
-78 0.712019572502908 2 61 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.904429485881584
-314 0.565490579617997 2 9 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.838195643919268
56 0.853916250850605 4 29 "GO:0001046" "core promoter sequence-specific DNA binding" 0.966013364861881
45 0.852756049454885 2 46 "GO:0001047" "core promoter binding" 0.965944030245933
260 0.284759105619197 2 46 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.629492101660843
-122 0.626287157549562 2 43 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.864217286477339
206 0.574296213349523 2 20 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.84015710804886
722 0.0312292861227865 4 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.218612375266445
1250 0.0883701900143895 2 5 "GO:0001094;GO:0001091" "TFIID-class transcription factor binding" 0.353079077375674
308 0.498829636414857 3 13 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.804167908830212
414 0.424669625978502 2 10 "GO:0001102;GO:0033613" "activating transcription factor binding" 0.755130791234482
822 0.0966314054859082 2 11 "GO:0001103;GO:0070491" "repressing transcription factor binding" 0.377506690764948
503 0.0744142939476113 2 34 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.326106371594282
-31 0.952356285890482 4 10 "GO:0001105;GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.985339733847658
-50 0.941115040234494 2 6 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.985339733847658
791 0.148128413556305 3 9 "GO:0001158" "enhancer sequence-specific DNA binding" 0.475026692718207
262 0.596966344260024 3 11 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.854027336023796
139 0.64442751456689 2 30 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.868791081755056
-296 0.144971965790902 2 66 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.471964288630381
-266 0.646469330934867 2 8 "GO:0001540" "beta-amyloid binding" 0.870209099374806
-542 0.00714372355704282 -1 67 "GO:0001584" "rhodopsin-like receptor activity" 0.110163736958608
571 0.393707512238752 2 6 "GO:0001609" "G-protein coupled adenosine receptor activity" 0.731223236947868
-26 0.971591678690508 2 5 "GO:0001618" "virus receptor activity" 0.987402139483265
-676 0.356835723281004 5 5 "GO:0001640" "adenylate cyclase inhibiting G-protein coupled glutamate receptor activity" 0.701710593824718
-417 0.0538533478627467 2 58 "GO:0001664" "G-protein coupled receptor binding" 0.280429765021382
-1069 0.0308092670251114 2 11 "GO:0001786" "phosphatidylserine binding" 0.218612375266445
-250 0.486099879258247 2 21 "GO:0001948" "glycoprotein binding" 0.800153172037452
-204 0.629704520453883 4 15 "GO:0002020" "protease binding" 0.86485980231088
97 0.807972008954842 2 17 "GO:0002039" "p53 binding" 0.956179459753026
-97 0.875265416368006 3 7 "GO:0002161" "aminoacyl-tRNA editing activity" 0.969859216525135
385 0.00454624247669922 2 150 "GO:0003682" "chromatin binding" 0.0868727638482308
1040 0.00014789202663481 2 36 "GO:0003684" "damaged DNA binding" 0.00764688773011753
161 0.810684453914565 2 6 "GO:0003688" "DNA replication origin binding" 0.956179459753026
2000 0.00641012845728455 4 5 "GO:0003689;GO:0033170" "DNA clamp loader activity" 0.104233450132226
537 0.0503324902167342 2 36 "GO:0003690" "double-stranded DNA binding" 0.273100363583391
815 0.00133197442079046 2 42 "GO:0003697" "single-stranded DNA binding" 0.0352518767965715
-220 0.0397493542570832 2 245 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.243547217019364
535 0.258814365452321 2 12 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.605255800709083
-357 0.537902970039368 3 8 "GO:0003707" "steroid hormone receptor activity" 0.832343309658329
225 0.0855241201657 2 161 "GO:0003712;GO:0000989;GO:0000988" "protein binding transcription factor activity" 0.34484266800757
371 0.0370433356325569 3 86 "GO:0003713" "transcription coactivator activity" 0.241213392228134
51 0.833048800993191 3 47 "GO:0003714" "transcription corepressor activity" 0.962096612484725
-198 0.502150237216332 2 31 "GO:0003725" "double-stranded RNA binding" 0.804167908830212
394 0.197049659749261 5 29 "GO:0003727" "single-stranded RNA binding" 0.558635633608041
562 0.00298071975284445 5 76 "GO:0003729" "mRNA binding" 0.0655013165687568
